Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.2916,0.1613,32,0.15,0.0,1.0,0.0,0.025,0,10,0.1135413646697998
BPSK,0.0314,0.5,0.2134,32,0.0,0.0,1.0,80.0,0.1,8,10,0.07014679908752441
QPSK,0.12,0.0628,0.045,32,0.02,0.015,1.0,30.0,0.017499999999999998,3,10,0.0679478645324707
QPSK,0.0314,0.1613,0.1874,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06376338005065918
BPSK,0.0314,0.0628,0.08,16,0.0,0.005,0.9995,90.0,0.0,9,10,0.04996299743652344
QPSK,0.0314,0.3697,0.2395,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07585287094116211
QPSK,0.0314,0.0571,0.3697,32,0.0,0.0,1.0,90.0,0.0,9,10,0.07406377792358398
BPSK,0.0314,0.1353,0.4479,32,0.0,0.0,1.0,0.0,0.5,0,10,0.07198882102966309
QPSK,0.0314,0.0628,0.025,64,0.1,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.07796931266784668
QPSK,0.0314,0.0571,0.1613,32,0.0,0.0,1.0,90.0,0.0,9,10,0.06043505668640137
QPSK,0.0314,0.3437,0.3958,32,0.0,0.0,1.0,70.0,0.15,7,10,0.06503486633300781
BPSK,0.0314,0.0628,0.025,16,0.5,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.052931785583496094
QPSK,0.0314,0.005,0.1874,32,0.15,0.0,1.0,0.0,0.025,0,10,0.05494976043701172
QPSK,0.0314,0.2655,0.0571,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.05262565612792969
BPSK,0.0314,0.1092,0.0832,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06816411018371582
BPSK,0.0314,0.1874,0.1874,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06697702407836914
QPSK,0.0314,0.0628,0.025,48,0.05,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.062047481536865234
BPSK,0.0314,0.1,0.045,32,0.02,-0.03,1.0,90.0,0.0025000000000000005,9,10,0.08257699012756348
BPSK,0.0314,0.0571,0.4218,32,0.0,0.0,1.0,0.0,0.5,0,10,0.0713961124420166
BPSK,0.0314,0.2916,0.0832,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06658267974853516
BPSK,0.0314,0.2395,0.1353,32,0.15,0.0,1.0,60.0,0.010000000000000002,6,10,0.08056092262268066
QPSK,0.0314,0.4739,0.5,32,0.0,0.0,1.0,0.0,0.5,0,10,0.0676264762878418
BPSK,0.0314,0.2655,0.005,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.0779566764831543
BPSK,0.0314,0.2655,0.1353,32,0.0,0.0,1.0,40.0,0.3,4,10,0.07366180419921875
QPSK,0.0314,0.0832,0.3958,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06817054748535156
